[2025-03-09 04:06:42][INFO] /127.0.0.1 "GET /maps/world/tiles/1/x4/z0.png?145870 HTTP/1.1" 204 No Content
[2025-03-09 04:06:42][INFO] /0:0:0:0:0:0:0:1 "GET /maps/world/tiles/1/x4/z1.png?145870 HTTP/1.1" 204 No Content
[2025-03-09 04:06:42][INFO] /127.0.0.1 "GET /maps/world/tiles/3/x4/z-1.png?145870 HTTP/1.1" 204 No Content
[2025-03-09 04:06:42][INFO] /0:0:0:0:0:0:0:1 "GET /maps/world/tiles/2/x4/z0.png?145870 HTTP/1.1" 204 No Content
[2025-03-09 04:06:42][INFO] /127.0.0.1 "GET /maps/world/tiles/3/x4/z0.png?145870 HTTP/1.1" 204 No Content
[2025-03-09 04:06:42][INFO] /0:0:0:0:0:0:0:1 "GET /maps/world/tiles/1/x1/z4.png?145870 HTTP/1.1" 204 No Content
[2025-03-09 04:06:42][INFO] /0:0:0:0:0:0:0:1 "GET /maps/world/tiles/2/x4/z1.png?145870 HTTP/1.1" 204 No Content
[2025-03-09 04:06:42][INFO] /127.0.0.1 "GET /maps/world/tiles/1/x4/z3.png?145870 HTTP/1.1" 204 No Content
[2025-03-09 04:06:42][INFO] /0:0:0:0:0:0:0:1 "GET /maps/world/tiles/3/x4/z1.png?145870 HTTP/1.1" 204 No Content
[2025-03-09 04:06:42][INFO] /0:0:0:0:0:0:0:1 "GET /maps/world/tiles/3/x4/z2.png?145870 HTTP/1.1" 204 No Content
[2025-03-09 04:06:42][INFO] /127.0.0.1 "GET /maps/world/tiles/2/x4/z2.png?145870 HTTP/1.1" 204 No Content
[2025-03-09 04:06:42][INFO] /127.0.0.1 "GET /maps/world/tiles/2/x4/z3.png?145870 HTTP/1.1" 204 No Content
[2025-03-09 04:06:42][INFO] /0:0:0:0:0:0:0:1 "GET /maps/world/tiles/2/x4/z4.png?145870 HTTP/1.1" 204 No Content
[2025-03-09 04:06:42][INFO] /127.0.0.1 "GET /maps/world/tiles/1/x2/z4.png?145870 HTTP/1.1" 204 No Content
[2025-03-09 04:06:42][INFO] /127.0.0.1 "GET /maps/world/tiles/1/x3/z4.png?145870 HTTP/1.1" 204 No Content
[2025-03-09 04:06:42][INFO] /127.0.0.1 "GET /maps/world/tiles/2/x-1/z4.png?145870 HTTP/1.1" 204 No Content
[2025-03-09 04:06:42][INFO] /0:0:0:0:0:0:0:1 "GET /maps/world/tiles/1/x0/z4.png?145870 HTTP/1.1" 204 No Content
